"Suburb","Address","Rooms","Type","Method","Seller","Date","Distance","Postcode","Bedroom","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Latitude","Longtitude","Regionname","Propertycount","ParkingArea","Price"
"Seddon","50 Hyde St",3,"House","S","Village","8/10/16",6.6,3011,2,2,2,409,160.2800156,1970,"Maribyrnong City Council",-37.8097,144.8987,"Western",2417,"Carport",937500
"Seddon","38 Lily St",3,"House","PI","Village","8/10/16",6.6,3011,3,3,2,227,211,2015,"Maribyrnong City Council",-37.8033,144.8897,"Western",2417,"Detached Garage",1350000
"South Melbourne","247 York St",3,"House","S","Greg","8/10/16",2.1,3205,3,2,0,224,113,1890,"Port Phillip City Council",-37.8329,144.9529,"Southern",5943,"Attached Garage",1250000
"South Yarra","19/110 Caroline St",2,"Unit","PI","Williams","8/10/16",3.3,3141,2,1,1,557,75,1960,"Melbourne City Council",-37.8343,144.9899,"Southern",14887,"Indoor",780000
"South Yarra","403/700 Chapel St",2,"Unit","S","Williams","8/10/16",3.3,3141,2,2,1,557,160.2800156,2000,"Melbourne City Council",-37.8361,144.9966,"Southern",14887,"Parkade",865000
"South Yarra","26 Fawkner St",2,"House","S","Jellis","8/10/16",3.3,3141,2,1,0,225,94,1890,"Melbourne City Council",-37.8421,144.9876,"Southern",14887,"Carport",1455000
"South Yarra","6/24 Kensington Rd",2,"Townhouse","S","Kay","8/10/16",3.3,3141,3,2,1,1302,160.2800156,1970,"Melbourne City Council",-37.8377,145.0021,"Southern",14887,"Detached Garage",1365000
"South Yarra","9/372 Toorak Rd",1,"Unit","S","hockingstuart","8/10/16",3.3,3141,1,1,1,1369,160.2800156,1970,"Melbourne City Council",-37.8405,145.0025,"Southern",14887,"Attached Garage",411000
"South Yarra","2/403 Toorak Rd",1,"Unit","S","hockingstuart","8/10/16",3.3,3141,1,1,1,557,44,1960,"Melbourne City Council",-37.8404,145.0045,"Southern",14887,"Parkade",360500
"South Yarra","2/1 Walsh St",2,"Unit","PI","Williams","8/10/16",3.3,3141,2,2,2,557,107,1986,"Melbourne City Council",-37.8376,144.9847,"Southern",14887,"Underground",1300000
"South Yarra","6/1 Walsh St",2,"Unit","PI","Williams","8/10/16",3.3,3141,2,2,1,557,107,1980,"Melbourne City Council",-37.8376,144.9847,"Southern",14887,"Outdoor Stall",1300000
"Spotswood","18 Vernier St",2,"House","S","Jas","8/10/16",7.7,3015,2,1,2,502,104,1950,"Hobsons Bay City Council",-37.8263,144.8775,"Western",1223,"Carport",850000
"St Kilda","4/46 Blessington St",2,"Unit","S","Pride","8/10/16",6.1,3182,3,2,2,557,160.2800156,1970,"Port Phillip City Council",-37.8695,144.9825,"Southern",13240,"Detached Garage",1010000
"St Kilda","8/12 Charnwood Rd",2,"Unit","S","Pride","8/10/16",6.1,3182,2,1,2,1676,160.2800156,1970,"Port Phillip City Council",-37.8585,144.9852,"Southern",13240,"Attached Garage",487500
"St Kilda","26/69 Wellington St",1,"Unit","SP","Gary","8/10/16",6.1,3182,1,1,1,557,59,1995,"Port Phillip City Council",-37.8568,144.9873,"Southern",13240,"Indoor",459000
"Sunshine North","4 Garnet St",3,"House","S","Douglas","8/10/16",13.3,3020,3,1,2,532,160.2800156,1970,"Brimbank City Council",-37.7749,144.8313,"Western",4217,"Parkade",670000
"Sunshine North","61 Meadowbank Dr",3,"House","S","Barry","8/10/16",13.3,3020,3,2,2,528,137,1990,"Brimbank City Council",-37.758,144.8256,"Western",4217,"Carport",571500
"Sunshine North","2/86 Phoenix St",2,"Unit","PI","Douglas","8/10/16",13.3,3020,2,1,1,14,160.2800156,1970,"Brimbank City Council",-37.7756,144.8345,"Western",4217,"Detached Garage",315000
"Sunshine West","30 Hall St",3,"House","S","Bells","8/10/16",13.5,3020,3,1,4,699,125,1960,"Brimbank City Council",-37.7905,144.8033,"Western",6763,"Indoor",620000
"Surrey Hills","8 Charles St",4,"House","S","Fletchers","8/10/16",11.2,3127,4,2,2,486,160.2800156,1890,"Boroondara City Council",-37.8258,145.1116,"Southern",5457,"Carport",1530000
"Surrey Hills","9 Elm St",4,"House","PI","Ray","8/10/16",11.2,3127,4,2,2,867,218,1950,"Boroondara City Council",-37.8346,145.1059,"Southern",5457,"Detached Garage",1930000
"Surrey Hills","63 Shepherd St",4,"House","S","Marshall","8/10/16",11.2,3127,4,2,2,715,230,1920,"Boroondara City Council",-37.8325,145.1114,"Southern",5457,"Attached Garage",1812500
"Surrey Hills","1/21 Wharton St",2,"Unit","S","Noel","8/10/16",11.2,3127,2,1,1,681,80,1968,"Boroondara City Council",-37.8159,145.091,"Southern",5457,"Carport",760000
"Templestowe Lower","360 Thompsons Rd",4,"House","PI","Mason","8/10/16",13.8,3107,4,2,5,671,180,1970,"Manningham City Council",-37.7631,145.1108,"Eastern",5420,"Parkade",790000
"Thornbury","52 Gooch St",3,"House","S","Nelson","8/10/16",6.5,3071,3,1,1,294,160.2800156,1970,"Darebin City Council",-37.7585,145.0042,"Northern",8870,"Outdoor Stall",1135000
"Toorak","8/2 Douglas St",1,"Unit","SP","hockingstuart","8/10/16",4.6,3142,1,1,1,557,160.2800156,1970,"Stonnington City Council",-37.8392,145.008,"Southern",7217,"Detached Garage",462800
"Toorak","2/703 Orrong Rd",2,"Unit","PI","Williams","8/10/16",4.6,3142,2,2,2,557,160.2800156,1970,"Stonnington City Council",-37.8414,145.0137,"Southern",7217,"Indoor",1450000
"Watsonia","1/42 Wattle Dr",3,"House","S","Ken","8/10/16",14.9,3087,3,1,0,302,90,1950,"Banyule City Council",-37.7163,145.0768,"Northern",2329,"Attached Garage",582000
"West Melbourne","2/212 Roden St",2,"Townhouse","S","Jellis","8/10/16",1.9,3003,2,1,1,557,154,2009,"Melbourne City Council",-37.8094,144.9452,"Northern",2230,"Indoor",1055000
"Williamstown","17 Station Rd",4,"House","S","Greg","8/10/16",8,3016,3,1,2,458,160.2800156,1970,"Hobsons Bay City Council",-37.8571,144.8915,"Western",6380,"Parkade",1085000
"Williamstown","73 Victoria St",4,"House","PI","Sweeney","8/10/16",8,3016,4,3,2,321,287,1970,"Hobsons Bay City Council",-37.8623,144.8884,"Western",6380,"Carport",1815000
"Williamstown","17 Yarra St",3,"House","S","Jas","8/10/16",8,3016,3,2,1,364,93,1970,"Hobsons Bay City Council",-37.8513,144.8961,"Western",6380,"Detached Garage",1470000
"Williamstown North","4/29 Champion Rd",2,"Unit","SP","Compton","8/10/16",8.9,3016,2,1,1,557,160.2800156,1970,"Hobsons Bay City Council",-37.8564,144.8864,"Western",802,"Attached Garage",400000
"Williamstown North","37 Champion Rd",5,"House","SP","Sweeney","8/10/16",8.9,3016,5,2,5,680,160.2800156,1970,"Hobsons Bay City Council",-37.8561,144.8859,"Western",802,"Indoor",1410000
"Yarraville","47 Bayview Rd",5,"House","S","Village","8/10/16",7,3013,5,2,2,644,172,1890,"Maribyrnong City Council",-37.8102,144.8857,"Western",6543,"Attached Garage",1815000
"Yarraville","2/8 Hughes St",2,"House","PI","Jas","8/10/16",7,3013,2,1,1,148,79,2003,"Maribyrnong City Council",-37.822,144.89,"Western",6543,"Indoor",630000
"Yarraville","50 Tongue St",4,"House","S","Sweeney","8/10/16",7,3013,4,1,3,766,167,1968,"Maribyrnong City Council",-37.8126,144.8905,"Western",6543,"Underground",1870000
"Aberfeldie","21 May St",4,"House","S","Nelson","8/10/16",9.1,3040,2,2,2,559,204,1995,"Moonee Valley City Council",-37.7614,144.8925,"Western",1543,"Outdoor Stall",1346000
"Aberfeldie","25 Valencia St",2,"House","S","Rendina","8/10/16",9.1,3040,3,1,5,528,160.2800156,1970,"Moonee Valley City Council",-37.7617,144.8987,"Western",1543,"Parking Pad",1300000
"Brunswick East","201/218 Lygon St",2,"Unit","S","Jellis","8/10/16",4.5,3057,2,1,1,197,55,2012,"Moreland City Council",-37.7717,144.9719,"Northern",5533,"Attached Garage",435000
"Brunswick East","8/389 Lygon St",2,"Unit","PI","Jellis","8/10/16",4.5,3057,2,2,1,557,160.2800156,1970,"Moreland City Council",-37.7656,144.9726,"Northern",5533,"Indoor",570000
"Carlton","83 Cardigan St",2,"House","SP","Jellis","8/10/16",1.8,3053,2,1,0,66,81,1900,"Melbourne City Council",-37.8049,144.9644,"Northern",6786,"Underground",840000
"East Melbourne","37/22 Agnes St",2,"Unit","SP","Woodards","8/10/16",1.5,3002,2,0,0,557,160.2800156,1970,"Melbourne City Council",-37.8177,144.9801,"Northern",3040,"Outdoor Stall",740000
"East Melbourne","6/45 Gipps St",1,"Unit","S","Caine","8/10/16",1.5,3002,1,1,1,557,160.2800156,1970,"Melbourne City Council",-37.8136,144.9892,"Northern",3040,"Parking Pad",1015000
"East Melbourne","706/30 St Andrews Pl",2,"Unit","S","Caine","8/10/16",1.5,3002,2,2,1,557,160.2800156,1970,"Melbourne City Council",-37.8118,144.9762,"Northern",3040,"Carport",1400000
"Essendon West","12 Prospect St",2,"House","S","Barry","8/10/16",9.8,3040,2,1,1,711,160.2800156,1970,"Moonee Valley City Council",-37.755,144.8848,"Western",588,"Detached Garage",1430000
"Fawkner","45 Bruce St",4,"House","VB","Brad","8/10/16",12.4,3060,4,2,3,254,164,1990,"Hume City Council",-37.7082,144.9725,"Northern",5070,"Attached Garage",540000
"Hawthorn East","10/26 Redfern Rd",3,"Townhouse","S","Jellis","8/10/16",7.5,3123,3,2,2,94,169,2005,"Boroondara City Council",-37.8302,145.0525,"Southern",6482,"Detached Garage",1110000
"Hawthorn East","21 Russell St",4,"Townhouse","S","Jellis","8/10/16",7.5,3123,4,2,2,154,160.2800156,1998,"Boroondara City Council",-37.8298,145.0537,"Southern",6482,"Attached Garage",1425000
"Ivanhoe East","44 Keam St",4,"House","S","Fletchers","8/10/16",9,3079,4,2,2,830,315,1950,"Banyule City Council",-37.7679,145.0673,"Eastern",1554,"Parkade",1660000
"Kingsbury","46 Dunne St",3,"House","S","Barry","8/10/16",12.4,3083,2,1,1,907,165,1960,"Darebin City Council",-37.7143,145.039,"Northern",1414,"Carport",980000
"Murrumbeena","2/43 Kangaroo Rd",2,"Unit","S","Buxton","8/10/16",12.1,3163,2,1,1,557,86,1970,"Glen Eira City Council",-37.898,145.0734,"Southern",4442,"Detached Garage",825000
"Ormond","32a Bewdley St",2,"House","S","Ray","8/10/16",11.8,3204,2,1,1,516,160.2800156,1970,"Glen Eira City Council",-37.906,145.0497,"Southern",3578,"Attached Garage",1250000
"Ormond","13 Stewart St",2,"House","PI","hockingstuart","8/10/16",11.8,3204,3,1,1,690,160.2800156,1930,"Glen Eira City Council",-37.9056,145.0288,"Southern",3578,"Indoor",1360000
"West Footscray","12/32 Argyle St",2,"House","S","hockingstuart","8/10/16",8.2,3012,2,1,2,557,75,1970,"Maribyrnong City Council",-37.7952,144.8749,"Western",5058,"Parkade",438000
"West Footscray","2/10 Hatfield Ct",2,"House","S","Sweeney","8/10/16",8.2,3012,2,1,1,92,160.2800156,1970,"Maribyrnong City Council",-37.8095,144.869,"Western",5058,"Carport",360000
"Glen Huntly","9/133 Grange Rd",1,"Unit","SP","Gary","8/10/16",10.4,3163,3,2,2,557,160.2800156,1970,"Glen Eira City Council",-37.8913,145.0452,"Southern",2403,"Indoor",341000
"Glen Huntly","83 Grange Rd",3,"House","S","Gary","8/10/16",10.4,3163,3,1,2,553,137,1930,"Glen Eira City Council",-37.8878,145.0456,"Southern",2403,"Parkade",1160000
"Oakleigh","4 Leroux St",3,"House","S","Buxton","8/10/16",14,3166,3,1,2,689,160.2800156,1970,"Monash City Council",-37.8961,145.1046,"Southern",3224,"Attached Garage",1076000
"Cremorne","34 Green St",2,"House","S","Biggin","8/10/16",2.5,3121,2,1,0,146,160.2800156,1970,"Yarra City Council",-37.8274,144.9947,"Northern",1123,"Parkade",1000000
"Cremorne","7/18 Kelso St",2,"Unit","S","Biggin","8/10/16",2.5,3121,2,1,1,557,160.2800156,1980,"Yarra City Council",-37.8282,144.9897,"Northern",1123,"Carport",546000
"Caulfield East","4 Lord St",3,"House","S","Bayside","8/10/16",9.3,3145,3,1,2,658,160.2800156,1970,"Glen Eira City Council",-37.885,145.0466,"Southern",608,"Attached Garage",1380000
"Keilor Park","31 Swan St",3,"House","S","Nelson","8/10/16",14.5,3042,3,1,1,696,132,1975,"Brimbank City Council",-37.725,144.8586,"Western",1119,"Carport",720000
"Airport West","2/62 Clydesdale Rd",2,"Unit","S","Nelson","10/9/16",13.5,3042,2,1,1,120,94,2012,"Moonee Valley City Council",-37.7234,144.8792,"Western",3464,"Detached Garage",530000
"Airport West","3 Deidre Ct",3,"House","PI","Rendina","10/9/16",13.5,3042,3,1,6,1063,133,1975,"Moonee Valley City Council",-37.7249,144.8728,"Western",3464,"Attached Garage",895000
"Albert Park","29 Faussett St",2,"House","S","Greg","10/9/16",3.3,3206,2,1,1,199,107,1900,"Port Phillip City Council",-37.8422,144.9554,"Southern",3280,"Parkade",2120000
"Albert Park","3 Herbert St",3,"House","VB","Cayzer","10/9/16",3.3,3206,3,1,1,253,160.2800156,1970,"Port Phillip City Council",-37.8443,144.9579,"Southern",3280,"Underground",1800000
"Albert Park","24 Kerferd Pl",3,"House","S","Marshall","10/9/16",3.3,3206,3,2,1,90,122,1900,"Port Phillip City Council",-37.8421,144.9571,"Southern",3280,"Outdoor Stall",1800000
"Altona","3/26 Grieve Pde",2,"Unit","S","Village","10/9/16",13.8,3018,2,1,1,127,76,1990,"Hobsons Bay City Council",-37.8686,144.8182,"Western",5301,"Detached Garage",510000
"Altona","261 Queen St",4,"House","S","Barlow","10/9/16",13.8,3018,4,2,2,695,160.2800156,1970,"Hobsons Bay City Council",-37.8733,144.8147,"Western",5301,"Attached Garage",1070000
"Altona","4/5 Rose St",2,"Unit","S","hockingstuart","10/9/16",13.8,3018,2,1,2,115,57,1980,"Hobsons Bay City Council",-37.871,144.8185,"Western",5301,"Indoor",425000
"Armadale","15/405 Dandenong Rd",1,"Unit","PI","hockingstuart","10/9/16",6.3,3143,1,1,1,557,38,1975,"Stonnington City Council",-37.8619,145.0185,"Southern",4836,"Attached Garage",280000
"Ascot Vale","51 Francis St",2,"House","PI","Nelson","10/9/16",5.9,3032,2,1,1,226,87,1900,"Moonee Valley City Council",-37.7774,144.9186,"Western",6567,"Indoor",770000
"Ashburton","115 Ashburn Gr",8,"House","S","hockingstuart","10/9/16",11,3147,9,7,4,1472,618,2009,"Boroondara City Council",-37.8729,145.0788,"Southern",3052,"Carport",2950000
"Ashburton","33 Eleanor St",4,"House","SP","Marshall","10/9/16",11,3147,4,2,1,681,160.2800156,1940,"Boroondara City Council",-37.8612,145.0858,"Southern",3052,"Detached Garage",2215000
"Ashburton","1/1 Nairn St",3,"House","S","Jellis","10/9/16",11,3147,3,2,2,516,145,1920,"Boroondara City Council",-37.8675,145.0668,"Southern",3052,"Indoor",1518000
"Ashwood","35 Douglas St",3,"House","S","Fletchers","10/9/16",12.2,3147,3,1,1,792,792,1950,"Monash City Council",-37.864,145.0972,"Southern",2894,"Carport",1365000
"Balwyn","1/252 Union Rd",2,"Unit","S","hockingstuart","10/9/16",9.7,3103,2,1,1,557,73,1960,"Boroondara City Council",-37.8144,145.0993,"Southern",5682,"Outdoor Stall",526000
"Balwyn","9/204 Whitehorse Rd",1,"House","VB","Jellis","10/9/16",9.7,3103,1,1,1,740,160.2800156,1970,"Boroondara City Council",-37.8125,145.0775,"Southern",5682,"Parking Pad",390000
"Balwyn North","8 Cash St",4,"House","VB","Jellis","10/9/16",9.2,3104,4,2,2,610,275,1993,"Boroondara City Council",-37.7843,145.0891,"Southern",7809,"Indoor",1740000
"Balwyn North","7 Grieve St",4,"House","PI","Jellis","10/9/16",9.2,3104,4,3,2,657,355,2006,"Boroondara City Council",-37.7981,145.0904,"Southern",7809,"Underground",2575000
"Balwyn North","39 Kawarren St",4,"House","S","Jellis","10/9/16",9.2,3104,3,2,1,517,247,1970,"Boroondara City Council",-37.783,145.0926,"Southern",7809,"Outdoor Stall",1388800
"Bentleigh","74 Fromer St",4,"House","S","hockingstuart","10/9/16",13,3204,3,2,2,610,112,1940,"Glen Eira City Council",-37.9291,145.0472,"Southern",6795,"Carport",1328000
"Bentleigh","4 Gordon St",3,"House","S","hockingstuart","10/9/16",13,3204,3,2,1,526,135,1910,"Glen Eira City Council",-37.9279,145.031,"Southern",6795,"Detached Garage",1340000
"Bentleigh","58 London St",4,"Townhouse","S","Buxton","10/9/16",13,3204,4,3,2,271,205,2010,"Glen Eira City Council",-37.9252,145.0494,"Southern",6795,"Attached Garage",1155000
"Bentleigh","182 Patterson Rd",3,"House","S","Buxton","10/9/16",13,3204,3,1,4,758,138,1960,"Glen Eira City Council",-37.9267,145.043,"Southern",6795,"Parkade",1275000
"Bentleigh East","26 Boronia St",2,"House","S","hockingstuart","10/9/16",13.9,3165,3,1,1,597,160.2800156,1970,"Glen Eira City Council",-37.9126,145.0776,"Southern",10969,"Carport",1010000
"Bentleigh East","16 Leigh St",3,"House","S","Buxton","10/9/16",13.9,3165,3,1,1,583,160.2800156,1970,"Glen Eira City Council",-37.9312,145.0795,"Southern",10969,"Indoor",899000
"Bentleigh East","87 Parkmore Rd",4,"House","S","Buxton","10/9/16",13.9,3165,4,2,2,604,177,1970,"Glen Eira City Council",-37.9153,145.0707,"Southern",10969,"Detached Garage",1415000
"Box Hill","18 Glenmore St",4,"House","PI","Jellis","10/9/16",13.1,3128,3,2,3,729,167,1905,"Whitehorse City Council",-37.8233,145.1267,"Eastern",4605,"Attached Garage",1560000
"Brighton","15 Gould St",3,"House","S","Marshall","10/9/16",11.2,3186,3,2,2,835,160.2800156,1910,"Bayside City Council",-37.9225,144.991,"Southern",10579,"Attached Garage",2400000
"Brighton","2/42 Grosvenor St",2,"Unit","S","J","10/9/16",11.2,3186,2,1,1,557,160.2800156,1950,"Bayside City Council",-37.9097,144.9914,"Southern",10579,"Indoor",590000
"Brighton","1/10 Manor St",3,"House","S","Nick","10/9/16",11.2,3186,3,2,2,557,111,1980,"Bayside City Council",-37.9174,144.9895,"Southern",10579,"Carport",1650000
"Brighton","176 Were St",5,"House","PI","Buxton","10/9/16",11.2,3186,5,2,2,655,202,1925,"Bayside City Council",-37.9264,145.0044,"Southern",10579,"Attached Garage",1562500
"Brighton East","13 Hornby St",4,"House","S","Hodges","10/9/16",10.7,3187,5,2,2,999,274,1972,"Bayside City Council",-37.9135,145.0189,"Southern",6938,"Detached Garage",2840000
"Brighton East","10 MacKie Gr",3,"House","S","Marshall","10/9/16",10.7,3187,4,2,2,597,160.2800156,1970,"Bayside City Council",-37.9085,145.0201,"Southern",6938,"Attached Garage",1580000
"Brighton East","3 Raymond Ct",4,"Townhouse","VB","Gary","10/9/16",10.7,3187,4,3,2,302,160.2800156,1970,"Bayside City Council",-37.9317,145.0294,"Southern",6938,"Carport",1100000
"Brighton East","48 Thomas St",2,"House","PI","Biggin","10/9/16",10.7,3187,2,1,2,564,131,1948,"Bayside City Council",-37.9143,145.0238,"Southern",6938,"Detached Garage",1000000
"Brunswick","28 Blair St",2,"House","S","Nelson","10/9/16",5.2,3056,2,1,0,153,160.2800156,1900,"Moreland City Council",-37.7705,144.9647,"Northern",11918,"Indoor",1100000
"Brunswick","3/38 Charles St",2,"Townhouse","PI","Nelson","10/9/16",5.2,3056,2,2,1,118,88,2013,"Moreland City Council",-37.7723,144.9643,"Northern",11918,"Parkade",750000
"Brunswick","73 Davies St",2,"House","S","Nelson","10/9/16",5.2,3056,2,1,1,315,108,1910,"Moreland City Council",-37.757,144.9697,"Northern",11918,"Underground",1056000
"Brunswick West","4/22 Murray St",2,"Unit","PI","Brad","10/9/16",5.9,3055,2,1,1,557,160.2800156,1970,"Moreland City Council",-37.7594,144.9427,"Northern",7082,"Carport",380000
"Bulleen","47 Sheahans Rd",4,"House","S","Barry","10/9/16",11.8,3105,4,2,2,730,160.2800156,1971,"Manningham City Council",-37.7606,145.0932,"Eastern",4480,"Detached Garage",1260000
"Burwood","14/1 Conservatory Dr",3,"Unit","PI","Jellis","10/9/16",11.7,3125,3,2,1,557,115,2002,"Monash City Council",-37.8561,145.0962,"Southern",5678,"Attached Garage",625000
"Burwood","2/22 Scott Gr",3,"Townhouse","VB","Jellis","10/9/16",11.7,3125,3,2,2,160,160.2800156,1970,"Monash City Council",-37.8525,145.0973,"Southern",5678,"Indoor",780000
"Camberwell","3/573 Riversdale Rd",2,"Townhouse","S","Noel","10/9/16",7.8,3124,2,1,1,93,111,1970,"Boroondara City Council",-37.8314,145.0611,"Southern",8920,"Carport",900400
"Canterbury","1b Daphne St",3,"House","S","Fletchers","10/9/16",9,3126,3,2,1,145,140,1998,"Boroondara City Council",-37.8233,145.0769,"Southern",3265,"Detached Garage",928000
"Carnegie","3/35 Moonya Rd",2,"Unit","PI","Ray","10/9/16",11.4,3163,2,1,1,109,160.2800156,1970,"Glen Eira City Council",-37.8971,145.0597,"Southern",7822,"Attached Garage",545000
"Carnegie","1/38 Neville St",3,"Unit","S","Woodards","10/9/16",11.4,3163,3,1,2,557,170,1925,"Glen Eira City Council",-37.8977,145.0493,"Southern",7822,"Indoor",1170000
"Carnegie","4 Vine Gr",4,"House","S","Gary","10/9/16",11.4,3163,3,2,2,687,237,1983,"Glen Eira City Council",-37.8931,145.0479,"Southern",7822,"Underground",1830000
"Carnegie","12/66 Woornack Rd",1,"Unit","PI","hockingstuart","10/9/16",11.4,3163,1,1,1,557,34,1960,"Glen Eira City Council",-37.8982,145.0625,"Southern",7822,"Outdoor Stall",250000
"Caulfield North","9/400 Dandenong Rd",2,"Unit","VB","Gary","10/9/16",8.1,3161,2,1,1,557,56,2012,"Glen Eira City Council",-37.861,145.0136,"Southern",6923,"Parking Pad",420000
"Caulfield South","5 Filbert St",3,"House","S","Gary","10/9/16",9.3,3162,3,1,2,339,160.2800156,1970,"Glen Eira City Council",-37.8906,145.0221,"Southern",5051,"Detached Garage",1314000
"Clifton Hill","32 Caroline St",4,"House","S","Collins","10/9/16",3.4,3068,4,3,2,382,250,1903,"Yarra City Council",-37.7897,144.9992,"Northern",2954,"Parkade",3010000
"Clifton Hill","17 Myrtle St",2,"House","S","Nelson","10/9/16",3.4,3068,2,1,2,239,96,1900,"Yarra City Council",-37.7918,144.997,"Northern",2954,"Underground",1435000
"Coburg","60 Glengyle St",3,"House","S","Nelson","10/9/16",7.8,3058,3,1,1,379,125,1925,"Darebin City Council",-37.7544,144.9764,"Northern",11204,"Outdoor Stall",1210000
"Coburg","8/6 McKay St",2,"Unit","S","Nelson","10/9/16",7.8,3058,2,1,1,557,80,1965,"Darebin City Council",-37.7405,144.9644,"Northern",11204,"Detached Garage",434000
"Coburg","4/44 Victoria St",2,"Unit","SP","Peter","10/9/16",7.8,3058,2,1,1,129,107,2012,"Darebin City Council",-37.7422,144.9606,"Northern",11204,"Indoor",653000
"Coburg North","13 Pixel Cct",3,"House","S","Nelson","10/9/16",9.2,3058,3,1,2,104,138,2014,"Darebin City Council",-37.7307,144.9826,"Northern",3445,"Underground",625000
"Collingwood","130 Perry St",3,"Townhouse","S","Jellis","10/9/16",1.6,3066,3,1,1,171,160.2800156,1970,"Yarra City Council",-37.8006,144.9925,"Northern",4553,"Attached Garage",910000
"Doncaster","49 Burgundy Dr",5,"House","S","Barry","10/9/16",13.9,3108,5,5,2,669,395,2016,"Manningham City Council",-37.7808,145.1185,"Eastern",9028,"Indoor",2168000
"Eaglemont","6 Ashby Gr",5,"House","S","Nelson","10/9/16",10.3,3084,3,2,2,963,225,1925,"Banyule City Council",-37.7674,145.0518,"Eastern",1651,"Parkade",1901000
"Eaglemont","76 Castle St",4,"House","VB","Miles","10/9/16",10.3,3084,4,3,2,724,327,1940,"Banyule City Council",-37.7594,145.0594,"Eastern",1651,"Detached Garage",1650000
"Elwood","6/43 Milton St",2,"Unit","PI","McGrath","10/9/16",7.7,3184,2,1,1,557,77,1970,"Port Phillip City Council",-37.8757,144.9853,"Southern",8989,"Outdoor Stall",590000
"Essendon","6/4 Ballater St",2,"Unit","S","Nelson","10/9/16",8,3040,2,1,1,557,160.2800156,1970,"Moonee Valley City Council",-37.7504,144.9051,"Western",9264,"Attached Garage",521000
"Essendon","1/14 Forrester St",2,"Unit","S","Barry","10/9/16",8,3040,2,1,1,228,160.2800156,1970,"Moonee Valley City Council",-37.7531,144.9059,"Western",9264,"Indoor",645000
"Essendon","22 Nimmo St",4,"House","S","Nelson","10/9/16",8,3040,4,3,2,256,217,2015,"Moonee Valley City Council",-37.7527,144.8957,"Western",9264,"Parkade",1160000
"Essendon North","4/17 Bulla Rd",1,"Unit","S","Brad","10/9/16",9.4,3041,1,1,1,557,160.2800156,1970,"Moonee Valley City Council",-37.7428,144.9086,"Western",1308,"Parkade",260000
"Fairfield","7/223 Station St",2,"Unit","VB","Nelson","10/9/16",5.8,3078,2,1,1,557,68,1970,"Darebin City Council",-37.7719,145.0195,"Northern",2970,"Detached Garage",400000
"Fitzroy North","780 Brunswick St",3,"House","S","Nelson","10/9/16",3.5,3068,2,1,1,197,128,1900,"Moreland City Council",-37.7835,144.9816,"Northern",6244,"Carport",1371000
"Fitzroy North","1/180 Queens Pde",2,"Townhouse","S","Chambers","10/9/16",3.5,3068,2,2,1,557,160.2800156,1970,"Moreland City Council",-37.7903,144.9859,"Northern",6244,"Detached Garage",1054000
"Flemington","40 Coronet St",2,"House","SP","Nelson","10/9/16",4.4,3031,2,1,1,193,160.2800156,1970,"Melbourne City Council",-37.7861,144.9238,"Northern",3593,"Attached Garage",950000
"Flemington","107 Shields St",2,"House","S","Nelson","10/9/16",4.4,3031,2,1,0,136,78,1900,"Melbourne City Council",-37.7839,144.9343,"Northern",3593,"Indoor",918000
"Flemington","59 Victoria St",2,"House","SP","Nelson","10/9/16",4.4,3031,2,1,1,140,98,1890,"Melbourne City Council",-37.7867,144.9342,"Northern",3593,"Parkade",730000
"Glen Iris","423 Burke Rd",3,"House","S","Christopher","10/9/16",9.2,3146,3,1,2,297,160.2800156,1930,"Boroondara City Council",-37.847,145.0535,"Southern",10412,"Carport",1660000
"Glen Iris","2 Celia St",6,"House","VB","Gary","10/9/16",9.2,3146,5,3,2,650,160.2800156,1940,"Boroondara City Council",-37.8534,145.0785,"Southern",10412,"Detached Garage",2250000
"Glen Iris","2/25 Cloverdale Rd",3,"Unit","S","Jellis","10/9/16",9.2,3146,2,2,2,281,160.2800156,1970,"Boroondara City Council",-37.8579,145.0736,"Southern",10412,"Attached Garage",1162000
"Glen Iris","51 Dent St",4,"House","PI","Marshall","10/9/16",9.2,3146,4,2,2,630,351,2009,"Boroondara City Council",-37.8667,145.0752,"Southern",10412,"Carport",2020000
"Glen Iris","25 Hope St",2,"House","S","Noel","10/9/16",9.2,3146,2,0,0,207,160.2800156,1970,"Boroondara City Council",-37.863,145.0501,"Southern",10412,"Attached Garage",845000
"Glen Iris","27 Pascoe St",3,"House","PI","hockingstuart","10/9/16",9.2,3146,3,2,2,370,160.2800156,1970,"Boroondara City Council",-37.8597,145.0883,"Southern",10412,"Detached Garage",1510000
"Glenroy","6 Cosmos St",3,"House","S","Stockdale","10/9/16",13,3046,3,1,2,753,160.2800156,1970,"Moreland City Council",-37.7065,144.9374,"Northern",8870,"Indoor",691000
"Glenroy","62 Everard St",3,"House","S","Nelson","10/9/16",13,3046,3,1,1,589,160.2800156,1970,"Moreland City Council",-37.6993,144.9393,"Northern",8870,"Carport",500000
"Glenroy","3/28 Stanley St",3,"Townhouse","S","Barry","10/9/16",13,3046,3,2,1,136,130,2014,"Moreland City Council",-37.7112,144.9142,"Northern",8870,"Parkade",545000
